accession	reason
SRX1530096	Failed mean read length (58 bp) filter, expected > 75 bp
SRX1530097	Failed mean read length (56 bp) filter, expected > 75 bp
SRX1530098	Failed mean read length (51 bp) filter, expected > 75 bp
SRX1530099	Failed mean read length (46 bp) filter, expected > 75 bp;Failed base count (67811893 bp) filter, expected > 74407840 bp
SRX1530100	Failed mean read length (51 bp) filter, expected > 75 bp
SRX1530101	Failed mean read length (46 bp) filter, expected > 75 bp
SRX1530102	Failed mean read length (59 bp) filter, expected > 75 bp
SRX1530103	Failed mean read length (58 bp) filter, expected > 75 bp
SRX1530104	Failed mean read length (54 bp) filter, expected > 75 bp
SRX1530105	Failed base count (24122840 bp) filter, expected > 74407840 bp
SRX1530106	Failed mean read length (56 bp) filter, expected > 75 bp
SRX1530107	Failed mean read length (47 bp) filter, expected > 75 bp
SRX1530108	Failed mean read length (49 bp) filter, expected > 75 bp
SRX1530109	Failed mean read length (50 bp) filter, expected > 75 bp
SRX1530110	Failed mean read length (56 bp) filter, expected > 75 bp
SRX1530111	Failed mean read length (53 bp) filter, expected > 75 bp
SRX1530112	Failed mean read length (57 bp) filter, expected > 75 bp
SRX1530113	Failed mean read length (56 bp) filter, expected > 75 bp
SRX1530114	Failed base count (45266180 bp) filter, expected > 74407840 bp
SRX1530115	Failed mean read length (56 bp) filter, expected > 75 bp
SRX1530116	Failed mean read length (50 bp) filter, expected > 75 bp
SRX1530117	Failed base count (2539157 bp) filter, expected > 74407840 bp
SRX1530118	Failed base count (8636513 bp) filter, expected > 74407840 bp
SRX1530119	Failed base count (15727972 bp) filter, expected > 74407840 bp
SRX1530120	Failed mean read length (57 bp) filter, expected > 75 bp
SRX1530121	Failed base count (2319886 bp) filter, expected > 74407840 bp
SRX1530122	Failed base count (19059155 bp) filter, expected > 74407840 bp
SRX1530123	Failed base count (8757062 bp) filter, expected > 74407840 bp
SRX1530124	Failed base count (22606833 bp) filter, expected > 74407840 bp
SRX1530125	Failed base count (793272 bp) filter, expected > 74407840 bp
SRX1530126	Failed base count (1232505 bp) filter, expected > 74407840 bp
SRX1530127	Failed base count (1659195 bp) filter, expected > 74407840 bp
SRX1530128	Failed base count (6645909 bp) filter, expected > 74407840 bp
SRX1530129	Failed base count (7319582 bp) filter, expected > 74407840 bp
SRX1530130	Failed base count (7550685 bp) filter, expected > 74407840 bp
SRX1530131	Failed mean read length (57 bp) filter, expected > 75 bp
SRX1530132	Failed base count (3093733 bp) filter, expected > 74407840 bp
SRX1530133	Failed base count (3373255 bp) filter, expected > 74407840 bp
SRX1530134	Failed base count (5946771 bp) filter, expected > 74407840 bp
SRX1530135	Failed mean read length (57 bp) filter, expected > 75 bp
SRX1530136	Failed mean read length (57 bp) filter, expected > 75 bp
SRX1530137	Failed mean read length (58 bp) filter, expected > 75 bp
SRX1530138	Failed mean read length (51 bp) filter, expected > 75 bp
