g01213	g01213	50	23
g01213_00001	g01213	60	23
g01213_00002	g01213	70	23
g01213_00003	g01213	80	23
g01213_00004	g01213	90	23
g01213_00005	g01213	95	23
g01213_00006	g01213	98	6
g01213_00007	g01213	98	6
g01213_00008	g01213	98	3
g01213_00009	g01213	98	8
g00848	g00848	50	49
g00848_00001	g00848	60	49
g00848_00002	g00848	70	49
g00848_00003	g00848	80	49
g00848_00004	g00848	90	49
g00848_00005	g00848	95	49
g00848_00006	g00848	98	49
g00862	g00862	50	49
g00862_00001	g00862	60	49
g00862_00002	g00862	70	49
g00862_00003	g00862	80	49
g00862_00004	g00862	90	49
g00862_00005	g00862	95	49
g00862_00006	g00862	98	49
g00929	g00929	50	49
g00929_00001	g00929	60	49
g00929_00002	g00929	70	49
g00929_00003	g00929	80	49
g00929_00004	g00929	90	49
g00929_00005	g00929	95	49
g00929_00006	g00929	98	49
g00240	g00240	50	49
g00240_00001	g00240	60	49
g00240_00002	g00240	70	49
g00240_00003	g00240	80	49
g00240_00004	g00240	90	49
g00240_00005	g00240	95	49
g00240_00006	g00240	98	49
g01419	g01419	50	3
g01419_00001	g01419	60	3
g01419_00002	g01419	70	3
g01419_00003	g01419	80	3
g01419_00004	g01419	90	3
g01419_00005	g01419	95	2
g01419_00006	g01419	95	1
g01419_00007	g01419	98	2
g01419_00008	g01419	98	1
g00857	g00857	50	49
g00857_00001	g00857	60	49
g00857_00002	g00857	70	49
g00857_00003	g00857	80	49
g00857_00004	g00857	90	49
g00857_00005	g00857	95	49
g00857_00006	g00857	98	49
g00854	g00854	50	49
g00854_00001	g00854	60	49
g00854_00002	g00854	70	49
g00854_00003	g00854	80	49
g00854_00004	g00854	90	49
g00854_00005	g00854	95	49
g00854_00006	g00854	98	49
g01437	g01437	50	49
g01437_00001	g01437	60	49
g01437_00002	g01437	70	49
g01437_00003	g01437	80	49
g01437_00004	g01437	90	49
g01437_00005	g01437	95	49
g01437_00006	g01437	98	26
g01437_00007	g01437	98	23
g01053	g01053	50	49
g01053_00001	g01053	60	49
g01053_00002	g01053	70	49
g01053_00003	g01053	80	49
g01053_00004	g01053	90	49
g01053_00005	g01053	95	49
g01053_00006	g01053	98	49
g01228	g01228	50	23
g01228_00001	g01228	60	23
g01228_00002	g01228	70	22
g01228_00003	g01228	70	1
